INFO  | 2018-06-27 11:25:31 | [pool-6-thread-1] ? (:) - CQL: INSERT INTO users (user_id, first_name, last_name, properties, bits, scaleset, largenum, scale, byteobject, ts) VALUES ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
INFO  | 2018-06-27 11:25:31 | [pool-7-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, Trigger time: 1530073531316
INFO  | 2018-06-27 11:25:31 | [pool-7-thread-1] ? (:) - CQL: INSERT INTO users (user_id, first_name, last_name, properties, bits, scaleset, largenum, scale, byteobject, ts) VALUES ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
INFO  | 2018-06-27 11:25:31 | [pool-7-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, process tranfer success, time 1530073531319, elapsed time: 3
INFO  | 2018-06-27 11:25:31 | [pool-8-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, Trigger time: 1530073531325
INFO  | 2018-06-27 11:25:31 | [pool-8-thread-1] ? (:) - CQL: UPDATE users SET cities = [ 'New York', 'Los Angeles' ] WHERE user_id = 'coast2coast';
INFO  | 2018-06-27 11:25:31 | [pool-9-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1530073531341
INFO  | 2018-06-27 11:25:31 | [pool-9-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, process tranfer success, time 1530073531367, elapsed time: 26
INFO  | 2018-06-27 11:25:31 | [pool-10-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1530073531399
INFO  | 2018-06-27 11:25:31 | [pool-10-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, process tranfer success, time 1530073531456, elapsed time: 57
INFO  | 2018-06-27 11:25:31 | [pool-11-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1530073531460
INFO  | 2018-06-27 11:25:31 | [pool-12-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1530073531466
INFO  | 2018-06-27 11:25:31 | [pool-13-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1530073531473
